0,5
0,7
0,31
0,63
0,71
1,10
1,20
1,30
1,33
1,42
1,46
1,47
1,49
1,50
1,51
1,65
1,86
1,87
1,88
1,91
1,94
1,99
1,108
2,34
2,54
2,61
2,70
2,73
2,85
2,98
2,100
3,11
3,18
3,32
3,33
3,39
3,43
3,62
3,64
3,65
3,107
4,28
4,36
4,39
4,56
4,64
4,91
4,99
4,102
5,12
5,17
5,45
5,52
5,68
5,69
5,86
5,87
5,90
5,97
5,98
6,5
6,7
6,23
6,42
6,52
6,105
7,7
7,13
7,15
7,16
7,20
7,31
7,39
7,62
7,72
7,90
8,27
8,37
8,46
8,47
8,49
8,64
8,75
8,84
8,86
9,7
9,20
9,28
9,29
9,30
9,44
9,57
9,69
9,74
9,86
10,5
10,31
10,37
10,71
10,93
11,6
11,8
11,21
11,28
11,58
11,66
11,72
11,74
11,93
12,11
12,19
12,40
12,44
12,46
12,67
12,107
13,15
13,25
13,31
13,41
13,50
13,60
13,80
13,84
13,101
13,103
14,1
14,2
14,14
14,17
14,32
14,35
14,48
14,50
14,62
14,63
14,66
14,67
14,87
14,90
14,106
14,108
15,19
15,23
15,36
15,39
15,40
15,42
15,53
15,60
15,66
15,67
15,71
15,86
15,91
15,109
16,0
16,1
16,3
16,26
16,43
16,47
16,62
16,67
16,80
16,86
17,19
17,22
17,32
17,33
17,42
17,66
17,87
17,89
17,95
17,109
18,12
18,25
18,33
18,43
18,64
18,85
18,101
19,5
19,53
19,70
19,72
19,75
19,86
19,88
19,92
19,99
19,100
20,19
20,29
20,31
20,34
20,39
20,64
20,67
20,92
20,105
20,106
21,18
21,20
21,25
21,29
21,39
21,40
21,59
21,73
21,91
22,7
22,18
22,29
22,55
22,68
22,73
22,78
22,80
22,94
23,10
23,19
23,26
23,36
23,50
23,71
23,79
23,80
23,95
23,98
24,4
24,11
24,14
24,17
24,24
24,30
24,32
24,44
24,48
24,63
24,94
24,101
25,8
25,9
25,18
25,21
25,54
25,67
25,72
25,73
25,86
25,100
26,1
26,11
26,14
26,15
26,17
26,21
26,25
26,31
26,33
26,36
26,41
26,47
26,48
26,49
26,74
26,77
26,88
26,105
27,0
27,23
27,30
27,40
27,47
27,59
27,63
27,71
27,76
27,87
27,89
27,93
27,102
27,105
28,22
28,32
28,40
28,45
28,47
28,58
28,75
28,76
28,79
28,81
28,89
28,92
28,96
28,103
29,18
29,22
29,29
29,36
29,39
29,55
29,61
29,73
29,75
29,80
30,27
30,56
30,64
30,65
30,78
30,83
30,96
30,103
31,38
31,41
31,45
31,51
31,62
31,64
31,71
31,73
31,74
31,86
32,28
32,33
32,34
32,37
32,38
32,40
32,44
32,88
32,101
33,15
33,20
33,21
33,40
33,46
33,52
33,54
33,59
33,61
33,92
33,104
33,107
34,11
34,27
34,47
34,78
34,86
34,94
34,98
34,100
34,102
35,2
35,9
35,11
35,41
35,43
35,66
35,76
35,77
35,84
35,104
36,63
36,89
36,92
36,94
37,29
37,34
37,41
37,42
37,46
37,47
37,60
37,61
37,66
37,67
37,70
37,100
37,101
38,10
38,16
38,51
38,56
38,64
38,99
38,100
38,102
38,104
39,33
39,38
39,41
39,56
39,59
39,61
39,69
39,73
39,86
39,90
39,94
40,7
40,9
40,30
40,47
40,55
40,71
40,93
40,101
41,5
41,28
41,41
41,42
41,49
41,54
41,63
41,67
41,82
41,83
41,93
42,5
42,14
42,15
42,17
42,40
42,54
42,63
42,68
42,72
42,76
42,77
42,82
42,94
42,103
43,13
43,22
43,23
43,24
43,31
43,40
43,46
43,64
43,68
43,72
43,74
43,105
44,12
44,23
44,48
44,64
44,69
44,80
44,92
44,103
44,105
45,25
45,28
45,34
45,92
46,4
46,11
46,26
46,44
46,51
46,57
46,78
46,89
46,98
46,102
47,3
47,7
47,38
47,43
47,47
47,65
48,12
48,37
48,56
48,76
48,96
49,3
